Disease,Description
AIDS (Stage 1),ଏଡସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
AIDS,"ହାସଲ ହୋଇଥିବା ଇମ୍ୟୁନୋଡେଫିସିଏନ୍ସି ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହେଉଛି ଏକ ଦୀର୍ଘସ୍ଥାୟୀ, ସମ୍ଭାବ୍ୟ ଜୀବନ ପ୍ରତି ବିପଦଜନକ ଅବସ୍ଥା ଯାହା ମଣିଷର ପ୍ରତିରୋପଣ ଅଭାବରୁ ଜୀବାଣୁ (ଏଚ୍.ଆଇ.ଭି) ଦ୍ caused ାରା ସୃଷ୍ଟି ହୋଇଥାଏ। ଆପଣଙ୍କର ପ୍ରତିରକ୍ଷା ପ୍ରଣାଳୀକୁ କ୍ଷତି ପହଞ୍ଚାଇ, ଏଚ୍.ଆଇ.ଭି ଆପଣଙ୍କ ଶରୀରର ସଂକ୍ରମଣ ଏବଂ ରୋଗ ସହ ଲ to ିବାରେ ବାଧା ସୃଷ୍ଟି କରେ |"
Acne (Acute),ବ୍ରଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Acne (Chronic),ବ୍ରଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Acne (Mild),ବ୍ରଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Acne (Severe),ବ୍ରଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Acne (Stage 1),ବ୍ରଣର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Acne,"ବ୍ରଣ ଭାଲ୍ଗାରିସ୍ ହେଉଛି ପିଲୋସେବାସିୟସ୍ ୟୁନିଟ୍ (ହେୟାର ଫୋଲିକଲ୍ସ ଏବଂ ସେମାନଙ୍କ ସହିତ ଥିବା ସେବାସିଅସ୍ ଗ୍ରନ୍ଥି) ର ବାଧା ଏବଂ ପ୍ରଦାହ ହେତୁ କମେଡୋନ୍, ପାପୁଲସ୍, ପୁଷ୍ଟୁଲସ୍, ନୋଡୁଲ୍ସ, ଏବଂ / କିମ୍ବା ସିଷ୍ଟସ୍ ଗଠନ | ମୁହଁ ଏବଂ ଉପର ଟ୍ରଙ୍କରେ ବ୍ରଣ ବିକଶିତ ହୁଏ | ଏହା ପ୍ରାୟତ teen କିଶୋରମାନଙ୍କୁ ପ୍ରଭାବିତ କରିଥାଏ |"
Alcoholic hepatitis (Acute),ମଦ୍ୟପାନ ହେପାଟାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Alcoholic hepatitis (Chronic),ମଦ୍ୟପାନ ହେପାଟାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Alcoholic hepatitis (Mild),ମଦ୍ୟପାନ ହେପାଟାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Alcoholic hepatitis (Severe),ମଦ୍ୟପାନ ହେପାଟାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Alcoholic hepatitis (Stage 1),ମଦ୍ୟପାନ ହେପାଟାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Alcoholic hepatitis,"ମଦ୍ୟପାନ ହେପାଟାଇଟିସ୍ ହେଉଛି ଯକୃତର ଏକ ରୋଗଗ୍ରସ୍ତ, ପ୍ରଦାହଜନକ ଅବସ୍ଥା ଯାହାକି ଦୀର୍ଘ ସମୟ ଧରି ଅତ୍ୟଧିକ ମଦ୍ୟପାନ ଦ୍ୱାରା ହୋଇଥାଏ | ମଦ୍ୟପାନ ଏବଂ ଚାଲୁଥିବା ମଦ୍ୟପାନ ଦ୍ୱାରା ଏହା ମଧ୍ୟ ବୃଦ୍ଧି ପାଇଥାଏ | ଯଦି ଆପଣ ଏହି ଅବସ୍ଥାକୁ ବିକଶିତ କରନ୍ତି, ତେବେ ଆପଣଙ୍କୁ ମଦ୍ୟପାନ ବନ୍ଦ କରିବା ଜରୁରୀ |"
Allergy (Acute),ଆଲର୍ଜିର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Allergy (Chronic),ଆଲର୍ଜିର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Allergy (Mild),ଆଲର୍ଜିର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Allergy (Severe),ଆଲର୍ଜିର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Allergy (Stage 1),ଆଲର୍ଜିର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Allergy,"ଏକ ଆଲର୍ଜି ହେଉଛି ଏକ ବିଦେଶୀ ପଦାର୍ଥର ପ୍ରତିରକ୍ଷା ପ୍ରଣାଳୀ ଯାହା ସାଧାରଣତ your ଆପଣଙ୍କ ଶରୀର ପାଇଁ କ୍ଷତିକାରକ ନୁହେଁ | ସେମାନେ କିଛି ଖାଦ୍ୟ, ପଲିଥିନ କିମ୍ବା ପୋଷା ଡାଣ୍ଡର ଅନ୍ତର୍ଭୁକ୍ତ କରିପାରିବେ | ଆପଣଙ୍କର ପ୍ରତିରକ୍ଷା ପ୍ରଣାଳୀର କାର୍ଯ୍ୟ ହେଉଛି କ୍ଷତିକାରକ ରୋଗ ସମ୍ବନ୍ଧୀୟ ଲ fighting େଇ ଦ୍ୱାରା ଆପଣଙ୍କୁ ସୁସ୍ଥ ରଖିବା |"
Anemia (Acute),ରକ୍ତହୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anemia (Chronic),ରକ୍ତହୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anemia (Mild),ରକ୍ତହୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anemia (Severe),ରକ୍ତହୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anemia (Stage 1),ରକ୍ତହୀନତାର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anemia,"ଥକ୍କା, ଦୁର୍ବଳତା, ଫିକା_ ଚର୍ମ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Anxiety Disorder (Acute),ଚିନ୍ତା ବ୍ୟାଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anxiety Disorder (Chronic),ଚିନ୍ତା ବ୍ୟାଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anxiety Disorder (Mild),ଚିନ୍ତା ବ୍ୟାଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anxiety Disorder (Severe),ଚିନ୍ତା ବ୍ୟାଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anxiety Disorder (Stage 1),ଚିନ୍ତା ବ୍ୟାଘାତର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Anxiety Disorder,"ଏକ ଡାକ୍ତରୀ ଅବସ୍ଥା ଅନୁଭବ_ନର୍ଭସ୍, ଅନୁଭବ_ ଅସ୍ଥିର, ଆତଙ୍କିତ |"
Appendicitis (Acute),ଆପେଣ୍ଡିକାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Appendicitis (Chronic),ଆପେଣ୍ଡିକାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Appendicitis (Mild),ଆପେଣ୍ଡିକାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Appendicitis (Severe),ଆପେଣ୍ଡିକାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Appendicitis (Stage 1),ଆପେଣ୍ଡିକାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Appendicitis,"ହଠାତ୍_ପେନ୍_ନ୍_ ରାଇଟ୍_ ସାଇଡ୍, ଯନ୍ତ୍ରଣା_ ୱର୍ସେନ୍ସ_ଫ୍_ କାଶ, ବାନ୍ତି ହେତୁ ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Arthritis (Acute),ଆର୍ଥ୍ରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Arthritis (Chronic),ଆର୍ଥ୍ରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Arthritis (Mild),ଆର୍ଥ୍ରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Arthritis (Severe),ଆର୍ଥ୍ରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Arthritis (Stage 1),ଆର୍ଥ୍ରାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Arthritis,"ଆର୍ଥ୍ରାଇଟିସ୍ ହେଉଛି ଆପଣଙ୍କର ଏକ ବା ଅଧିକ ଗଣ୍ଠିର ଫୁଲା ଏବଂ କୋମଳତା | ଆର୍ଥ୍ରାଇଟିସର ମୁଖ୍ୟ ଲକ୍ଷଣ ହେଉଛି ଗଣ୍ଠି ଯନ୍ତ୍ରଣା ଏବଂ କଠିନତା, ଯାହା ସାଧାରଣତ age ବୟସ ସହିତ ଖରାପ ହୋଇଯାଏ | ଆର୍ଥ୍ରାଇଟିସ୍ ର ସାଧାରଣ ପ୍ରକାର ହେଉଛି ଅଷ୍ଟିଓଆର୍ଥ୍ରାଇଟିସ୍ ଏବଂ ରିମାଟଏଡ୍ ଆର୍ଥ୍ରାଇଟିସ୍ |"
Bronchial Asthma (Acute),ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchial Asthma (Chronic),ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchial Asthma (Mild),ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchial Asthma (Severe),ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchial Asthma (Stage 1),ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchial Asthma,"ବ୍ରୋଙ୍କିଆଲ୍ ଆଜମା ହେଉଛି ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା ଯାହା ଫୁସଫୁସର ବାୟୁ ପଥ ଫୁଲିଯାଏ ଏବଂ ସଂକୀର୍ଣ୍ଣ ହୁଏ | ଏହି ଫୁଲା ଯୋଗୁଁ ବାୟୁ ପଥ ଅତ୍ୟଧିକ ଶ୍ us ାସ ସୃଷ୍ଟି କରେ ଯାହା ଶ୍ୱାସ ନେବାରେ କଷ୍ଟକର ହୁଏ, ଯାହାଦ୍ୱାରା କାଶ, ଅଳ୍ପ ନିଶ୍ୱାସ ଏବଂ ଚକ୍କର ହୁଏ | ଏହି ରୋଗ କ୍ରନିକ ଏବଂ ଦ daily ନନ୍ଦିନ କାର୍ଯ୍ୟରେ ବାଧା ସୃଷ୍ଟି କରିଥାଏ |"
Bronchitis (Acute),ବ୍ରୋଙ୍କାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchitis (Chronic),ବ୍ରୋଙ୍କାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchitis (Mild),ବ୍ରୋଙ୍କାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchitis (Severe),ବ୍ରୋଙ୍କାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchitis (Stage 1),ବ୍ରୋଙ୍କାଇଟିସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Bronchitis,"କାଶ, ଉତ୍ପାଦନ_ଫ_ମ୍ୟୁକସ୍, ଥକ୍କା ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
COVID-19 (Acute),COVID-19 ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
COVID-19 (Chronic),COVID-19 ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
COVID-19 (Mild),COVID-19 ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
COVID-19 (Severe),COVID-19 ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
COVID-19 (Stage 1),COVID-19 ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
COVID-19,"ଜ୍ୱର, କାଶ, ଥକାପଣ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Cataracts (Acute),ମୋତିଆବିନ୍ଦୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cataracts (Chronic),ମୋତିଆବିନ୍ଦୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cataracts (Mild),ମୋତିଆବିନ୍ଦୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cataracts (Severe),ମୋତିଆବିନ୍ଦୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cataracts (Stage 1),ମୋତିଆବିନ୍ଦୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cataracts,"କ୍ଲାଉଡ୍_ଡେଲେଡ୍_ର୍_ଡିମ୍_ଭିଜନ୍, ବ increasing ୁଥିବା_ ଅସୁବିଧା_ ସହିତ_ ଦର୍ଶନ_ ରାତି, ସମ୍ବେଦନଶୀଳତା_ ଆଲୋକ ଦ୍ୱାରା ବର୍ଣ୍ଣିତ ଏକ ଚିକିତ୍ସା ଅବସ୍ଥା |"
Cervical spondylosis (Acute),ସର୍ଭିକାଲ୍ ସ୍ପଣ୍ଡିଲୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cervical spondylosis (Chronic),ସର୍ଭିକାଲ୍ ସ୍ପଣ୍ଡିଲୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cervical spondylosis (Mild),ସର୍ଭିକାଲ୍ ସ୍ପଣ୍ଡିଲୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cervical spondylosis (Severe),ସର୍ଭିକାଲ୍ ସ୍ପଣ୍ଡିଲୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cervical spondylosis (Stage 1),ସର୍ଭିକାଲ୍ ସ୍ପଣ୍ଡିଲୋସିସ୍ ର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Cervical spondylosis,"ଆପଣଙ୍କ ବେକରେ ମେରୁଦଣ୍ଡ ଡିସ୍କକୁ ପ୍ରଭାବିତ କରୁଥିବା ବୟସ ସମ୍ବନ୍ଧୀୟ ପୋଷାକ ଏବଂ ଲୁହ ପାଇଁ ଗର୍ଭାଶୟ ସ୍ପଣ୍ଡିଲୋସିସ୍ ଏକ ସାଧାରଣ ଶବ୍ଦ | ଡିସ୍କଗୁଡ଼ିକ ଡିହାଇଡ୍ରେଟ୍ ଏବଂ ସଙ୍କୋଚନ ହେବା ସହିତ ଅସ୍ଥିଓଆର୍ଥ୍ରାଇଟିସ୍ ରୋଗର ଲକ୍ଷଣ ବିକଶିତ ହୁଏ, ହାଡର ଧାରରେ ଥିବା ଅସ୍ଥି ପ୍ରୋଜେକସନ (ହାଡ ସ୍ପର୍ସ) |"
Chicken pox (Acute),ଚିକେନ୍ ପକ୍ସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chicken pox (Chronic),ଚିକେନ୍ ପକ୍ସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chicken pox (Mild),ଚିକେନ୍ ପକ୍ସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chicken pox (Severe),ଚିକେନ୍ ପକ୍ସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
Chicken pox (Stage 1),ଚିକେନ୍ ପକ୍ସର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ପ୍ରକାର | ଡାକ୍ତରୀ ଚିକିତ୍ସା ଆବଶ୍ୟକ କରନ୍ତି |
