Disease,Description
Acne (Chronic),முகப்பருவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Acne (Mild),முகப்பருவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Acne (Severe),முகப்பருவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Acne (Stage 1),முகப்பருவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Acne,"முகப்பரு வல்காரிஸ் என்பது காமெடோன்கள், பருக்கள், கொப்புளங்கள், முடிச்சுகள் மற்றும்/அல்லது பைலோஸ்பேசியஸ் அலகுகளின் (மயிர்க்கால் மற்றும் அதனுடன் இணைந்த செபாசியஸ் சுரப்பி) அடைப்பு மற்றும் வீக்கத்தின் விளைவாக உருவாகும் நீர்க்கட்டிகள் ஆகும். முகப்பரு மற்றும் மேல் உடற்பகுதியில் முகப்பரு உருவாகிறது. இது பெரும்பாலும் இளம் பருவத்தினரை பாதிக்கிறது."
Alcoholic hepatitis (Acute),ஆல்கஹால் ஹெபடைடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Alcoholic hepatitis (Chronic),ஆல்கஹால் ஹெபடைடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Alcoholic hepatitis (Mild),ஆல்கஹால் ஹெபடைடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Alcoholic hepatitis (Severe),ஆல்கஹால் ஹெபடைடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Alcoholic hepatitis (Stage 1),ஆல்கஹால் ஹெபடைடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Alcoholic hepatitis,"ஆல்கஹாலிக் ஹெபடைடிஸ் என்பது ஒரு நோயுற்ற கல்லீரலின் அழற்சி நிலையாகும், இது நீண்ட காலத்திற்கு அதிகமாக மது அருந்துவதால் ஏற்படுகிறது. அதிகப்படியான குடிப்பழக்கம் மற்றும் தொடர்ந்து மது அருந்துதல் ஆகியவற்றால் இது மோசமடைகிறது. இந்த நிலை ஏற்பட்டால், நீங்கள் மது அருந்துவதை நிறுத்த வேண்டும்"
Allergy (Acute),அலர்ஜியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Allergy (Chronic),அலர்ஜியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Allergy (Mild),அலர்ஜியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Allergy (Severe),அலர்ஜியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Allergy (Stage 1),அலர்ஜியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Allergy,"ஒவ்வாமை என்பது உங்கள் உடலுக்குத் தீங்கு விளைவிக்காத ஒரு வெளிநாட்டுப் பொருளுக்கு நோயெதிர்ப்பு மண்டலத்தின் பிரதிபலிப்பாகும். அவற்றில் சில உணவுகள், மகரந்தம் அல்லது செல்லப் பிராணிகளின் பொடுகு ஆகியவை அடங்கும். தீங்கு விளைவிக்கும் நோய்க்கிருமிகளை எதிர்த்துப் போராடுவதன் மூலம் உங்களை ஆரோக்கியமாக வைத்திருப்பதே உங்கள் நோயெதிர்ப்பு மண்டலத்தின் வேலை."
Anemia (Acute),இரத்த சோகையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anemia (Chronic),இரத்த சோகையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anemia (Mild),இரத்த சோகையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anemia (Severe),இரத்த சோகையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anemia (Stage 1),இரத்த சோகையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anemia,"சோர்வு, பலவீனம், வெளிர்_தோல் ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Anxiety Disorder (Acute),கவலைக் கோளாறின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anxiety Disorder (Chronic),கவலைக் கோளாறின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anxiety Disorder (Mild),கவலைக் கோளாறின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anxiety Disorder (Severe),கவலைக் கோளாறின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anxiety Disorder (Stage 1),கவலைக் கோளாறின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Anxiety Disorder,"ஒரு மருத்துவ நிலை, உணர்வு_நரம்பு, உணர்வு_அமைதி, பீதி ஆகியவற்றால் வகைப்படுத்தப்படுகிறது."
Appendicitis (Acute),குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Appendicitis (Chronic),குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Appendicitis (Mild),குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Appendicitis (Severe),குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Appendicitis (Stage 1),குடல் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Appendicitis,"திடீரென_வலது_பக்கத்தில்_வலி, இருமல்_இருந்தால்_வலி அதிகமடைகிறது, குமட்டல்."
Arthritis (Acute),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Arthritis (Chronic),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Arthritis (Mild),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Arthritis (Severe),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Arthritis (Stage 1),கீல்வாதத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Arthritis,"கீல்வாதம் என்பது உங்கள் ஒன்று அல்லது அதற்கு மேற்பட்ட மூட்டுகளின் வீக்கம் மற்றும் மென்மை. மூட்டுவலியின் முக்கிய அறிகுறிகள் மூட்டு வலி மற்றும் விறைப்பு, இது பொதுவாக வயதுக்கு ஏற்ப மோசமடைகிறது. கீல்வாதத்தின் மிகவும் பொதுவான வகைகள் கீல்வாதம் மற்றும் முடக்கு வாதம்."
Bronchial Asthma (Acute),மூச்சுக்குழாய் ஆஸ்துமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchial Asthma (Chronic),மூச்சுக்குழாய் ஆஸ்துமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchial Asthma (Mild),மூச்சுக்குழாய் ஆஸ்துமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchial Asthma (Severe),மூச்சுக்குழாய் ஆஸ்துமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchial Asthma (Stage 1),மூச்சுக்குழாய் ஆஸ்துமாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchial Asthma,"மூச்சுக்குழாய் ஆஸ்துமா என்பது ஒரு மருத்துவ நிலை ஆகும், இது நுரையீரலின் காற்றுப்பாதை பாதையை வீங்கி, குறுக வைக்கிறது. இந்த வீக்கத்தின் காரணமாக, காற்றுப் பாதையானது அதிகப்படியான சளியை உருவாக்கி, சுவாசிப்பதை கடினமாக்குகிறது, இதன் விளைவாக இருமல், குறுகிய மூச்சு மற்றும் மூச்சுத்திணறல் ஏற்படுகிறது. நோய் நாள்பட்டது மற்றும் தினசரி வேலையில் தலையிடுகிறது."
Bronchitis (Acute),மூச்சுக்குழாய் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchitis (Chronic),மூச்சுக்குழாய் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchitis (Mild),மூச்சுக்குழாய் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchitis (Severe),மூச்சுக்குழாய் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchitis (Stage 1),மூச்சுக்குழாய் அழற்சியின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Bronchitis,"இருமல், சளி_உற்பத்தி, சோர்வு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
COVID-19 (Acute),கோவிட்-19 இன் குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
COVID-19 (Chronic),கோவிட்-19 இன் குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
COVID-19 (Mild),கோவிட்-19 இன் குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
COVID-19 (Severe),கோவிட்-19 இன் குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
COVID-19 (Stage 1),கோவிட்-19 இன் குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
COVID-19,"காய்ச்சல், இருமல், சோர்வு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Cataracts (Acute),கண்புரையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cataracts (Chronic),கண்புரையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cataracts (Mild),கண்புரையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cataracts (Severe),கண்புரையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cataracts (Stage 1),கண்புரையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cataracts,"மேகமூட்டமான_தாமதமான_அல்லது_மங்கலான_பார்வையால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை, இரவில்_பார்வையில்_கஷ்டம், வெளிச்சத்திற்கு_சென்சிட்டிவிட்டி."
Cervical spondylosis (Acute),செர்விகல் ஸ்போண்டிலோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cervical spondylosis (Chronic),செர்விகல் ஸ்போண்டிலோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cervical spondylosis (Mild),செர்விகல் ஸ்போண்டிலோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cervical spondylosis (Severe),செர்விகல் ஸ்போண்டிலோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cervical spondylosis (Stage 1),செர்விகல் ஸ்போண்டிலோசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cervical spondylosis,"கர்ப்பப்பை வாய் ஸ்போண்டிலோசிஸ் என்பது உங்கள் கழுத்தில் உள்ள முதுகெலும்பு வட்டுகளை பாதிக்கும் வயது தொடர்பான தேய்மானத்திற்கான பொதுவான சொல். வட்டுகள் நீரிழப்பு மற்றும் சுருங்கும்போது, ​​எலும்புகளின் விளிம்புகளில் (எலும்பு ஸ்பர்ஸ்) எலும்பு கணிப்புகள் உட்பட, கீல்வாதத்தின் அறிகுறிகள் உருவாகின்றன."
Chicken pox (Acute),சிக்கன் பாக்ஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chicken pox (Chronic),சிக்கன் பாக்ஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chicken pox (Mild),சிக்கன் பாக்ஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chicken pox (Severe),சிக்கன் பாக்ஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chicken pox (Stage 1),சிக்கன் பாக்ஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chicken pox,"சிக்கன் பாக்ஸ் என்பது வெரிசெல்லா-ஜோஸ்டர் வைரஸால் (VZV) ஏற்படும் மிகவும் தொற்று நோயாகும். இது அரிப்பு, கொப்புளம் போன்ற சொறி ஏற்படலாம். சொறி முதலில் மார்பு, முதுகு மற்றும் முகத்தில் தோன்றும், பின்னர் உடல் முழுவதும் பரவி, 250 முதல் 500 வரை அரிப்பு கொப்புளங்களை ஏற்படுத்துகிறது."
Chikungunya,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. சிக்குன்குனியாவுக்கு சரியான நேரத்தில் சிகிச்சை தேவைப்படுகிறது.
Cholera (Acute),காலராவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cholera (Chronic),காலராவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cholera (Mild),காலராவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cholera (Severe),காலராவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cholera (Stage 1),காலராவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Cholera,"வயிற்றுப்போக்கு, குமட்டல், வாந்தி ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Chronic cholestasis (Acute),நாள்பட்ட கொலஸ்டாசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chronic cholestasis (Chronic),நாள்பட்ட கொலஸ்டாசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chronic cholestasis (Mild),நாள்பட்ட கொலஸ்டாசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chronic cholestasis (Severe),நாள்பட்ட கொலஸ்டாசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chronic cholestasis (Stage 1),நாள்பட்ட கொலஸ்டாசிஸின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Chronic cholestasis,"நாட்பட்ட கொலஸ்டேடிக் நோய்கள், குழந்தைப் பருவத்தில், குழந்தைப் பருவத்தில் அல்லது இளமைப் பருவத்தில் ஏற்படும், பித்த அமிலம் கல்லீரலில் இருந்து குடலுக்குக் கொண்டு செல்லப்படும் குறைபாடுகளால் வகைப்படுத்தப்படுகிறது, இது பெரும்பாலான சந்தர்ப்பங்களில் பிலியரி எபிட்டிலியத்தின் முதன்மை சேதத்தால் ஏற்படுகிறது."
Common Cold (Acute),ஜலதோஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Common Cold (Chronic),ஜலதோஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Common Cold (Mild),ஜலதோஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Common Cold (Severe),ஜலதோஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Common Cold (Stage 1),ஜலதோஷத்தின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Common Cold,"ஜலதோஷம் என்பது உங்கள் மூக்கு மற்றும் தொண்டையில் (மேல் சுவாச பாதை) வைரஸ் தொற்று ஆகும். இது பொதுவாக பாதிப்பில்லாதது, இருப்பினும் அது அப்படி உணரவில்லை. பல வகையான வைரஸ்கள் ஜலதோஷத்தை ஏற்படுத்தும்."
Conjunctivitis (Pink Eye) (Acute),கான்ஜுன்க்டிவிடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Conjunctivitis (Pink Eye) (Chronic),கான்ஜுன்க்டிவிடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Conjunctivitis (Pink Eye) (Mild),கான்ஜுன்க்டிவிடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Conjunctivitis (Pink Eye) (Severe),கான்ஜுன்க்டிவிடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Conjunctivitis (Pink Eye) (Stage 1),கான்ஜுன்க்டிவிடிஸ் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Conjunctivitis (Pink Eye),"ஒரு_அல்லது_இரண்டு_கண்களில்_சிவப்பு, ஒன்று_அல்லது_இரண்டு_கண்களில்_அரிப்பு, கிழிதல் போன்ற மருத்துவ நிலை."
Dengue (Acute),டெங்குவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dengue (Chronic),டெங்குவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dengue (Mild),டெங்குவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dengue (Severe),டெங்குவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dengue (Stage 1),டெங்குவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dengue,"ஃபிளவிவைரஸால் ஏற்படும் கடுமையான தொற்று நோய் (பிளேவிவைரஸ் இனத்தின் டெங்கு வைரஸ்), ஏடிஸ் கொசுக்களால் பரவுகிறது மற்றும் தலைவலி, கடுமையான மூட்டு வலி மற்றும் சொறி ஆகியவற்றால் வகைப்படுத்தப்படுகிறது. - எலும்பு முறிவு காய்ச்சல், டெங்கு காய்ச்சல் என்றும் அழைக்கப்படுகிறது."
Depression (Acute),மனச்சோர்வின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Depression (Chronic),மனச்சோர்வின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Depression (Mild),மனச்சோர்வின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Depression (Severe),மனச்சோர்வின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Depression (Stage 1),மனச்சோர்வின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Depression,"நம்பிக்கையின்மை, ஆர்வம்_இழப்பு, சோர்வு ஆகியவற்றால் வகைப்படுத்தப்படும் ஒரு மருத்துவ நிலை."
Diabetes  (Acute),நீரிழிவு நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diabetes  (Chronic),நீரிழிவு நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diabetes  (Mild),நீரிழிவு நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diabetes  (Severe),நீரிழிவு நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diabetes  (Stage 1),நீரிழிவு நோயின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diabetes ,"நீரிழிவு நோய் என்பது உங்கள் இரத்த குளுக்கோஸ், இரத்த சர்க்கரை என்றும் அழைக்கப்படுகிறது, இது மிகவும் அதிகமாக இருக்கும்போது ஏற்படும் ஒரு நோயாகும். இரத்த குளுக்கோஸ் உங்கள் முக்கிய ஆற்றல் மூலமாகும் மற்றும் நீங்கள் உண்ணும் உணவில் இருந்து வருகிறது. கணையத்தால் தயாரிக்கப்படும் இன்சுலின் என்ற ஹார்மோன், உணவில் இருந்து குளுக்கோஸை ஆற்றலுக்காகப் பயன்படுத்த உங்கள் செல்களுக்குள் செல்ல உதவுகிறது."
Diabetic Foot Ulcer,தமிழ்நாடு/வெப்ப மண்டல பகுதிகளில் பொதுவான நிலை. நீரிழிவு கால் புண் சரியான நேரத்தில் சிகிச்சை தேவைப்படுகிறது.
Dimorphic hemmorhoids(piles) (Acute),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dimorphic hemmorhoids(piles) (Chronic),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dimorphic hemmorhoids(piles) (Mild),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dimorphic hemmorhoids(piles) (Severe),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dimorphic hemmorhoids(piles) (Stage 1),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria (Acute),டிஃப்தீரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria (Chronic),டிஃப்தீரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria (Mild),டிஃப்தீரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria (Severe),டிஃப்தீரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria (Stage 1),டிஃப்தீரியாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Diphtheria,"தடிமனான_சாம்பல்_மெம்பிரேன்_மூடிய_தொண்டை, புண்_தொண்டை, வீங்கிய_சுரப்பிகள் ஆகியவற்றால் வகைப்படுத்தப்படும் மருத்துவ நிலை."
Drug Reaction (Acute),மருந்து எதிர்வினையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Drug Reaction (Chronic),மருந்து எதிர்வினையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Drug Reaction (Mild),மருந்து எதிர்வினையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Drug Reaction (Severe),மருந்து எதிர்வினையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Drug Reaction (Stage 1),மருந்து எதிர்வினையின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Drug Reaction,பாதகமான மருந்து எதிர்வினை (ADR) என்பது மருந்து உட்கொள்வதால் ஏற்படும் காயம் ஆகும். ஒரு மருந்தின் ஒரு டோஸ் அல்லது நீண்ட கால நிர்வாகம் அல்லது இரண்டு அல்லது அதற்கு மேற்பட்ட மருந்துகளின் கலவையின் விளைவாக ADR கள் ஏற்படலாம்.
Ebola (Acute),எபோலாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ebola (Chronic),எபோலாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
Ebola (Mild),எபோலாவின் ஒரு குறிப்பிட்ட மாறுபாடு. மருத்துவ கவனிப்பு தேவை.
