Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Fungal infection,இரண்டு முறை குளியல்,குளிக்கும் நீரில் டெடோல் அல்லது வேம்பு பயன்படுத்தவும்,பாதிக்கப்பட்ட பகுதியை உலர வைக்கவும்,சுத்தமான துணிகளை பயன்படுத்தவும்
Hepatitis C,அருகில் உள்ள மருத்துவமனையை அணுகவும்,தடுப்பூசி,ஆரோக்கியமாக சாப்பிடுங்கள்,மருந்து
Migraine,தியானம்,மன அழுத்தத்தை குறைக்க,சூரிய ஒளியில் போலோராய்டு கண்ணாடிகளைப் பயன்படுத்துங்கள்,மருத்துவரை அணுகவும்
Bronchial Asthma,தளர்வான ஆடைக்கு மாறவும்,ஆழமாக சுவாசிக்கவும்,தூண்டுதலிலிருந்து விலகிச் செல்லுங்கள்,உதவி தேடுங்கள்
Alcoholic hepatitis,மது அருந்துவதை நிறுத்துங்கள்,மருத்துவரை அணுகவும்,மருந்து,பின்தொடரவும்
Jaundice,நிறைய தண்ணீர் குடிக்கவும்,பால் திஸ்ட்டில் சாப்பிட,பழங்கள் மற்றும் அதிக நார்ச்சத்துள்ள உணவுகளை உண்ணுங்கள்,மருந்து
Hepatitis E,மது அருந்துவதை நிறுத்துங்கள்,ஓய்வு,மருத்துவரை அணுகவும்,மருந்து
Dengue,பப்பாளி இலை சாறு குடிக்கவும்,கொழுப்பு காரமான உணவை தவிர்க்கவும்,கொசுக்களை விலக்கி வைக்கவும்,நீரேற்றமாக வைத்திருங்கள்
Hepatitis D,மருத்துவரை அணுகவும்,மருந்து,ஆரோக்கியமாக சாப்பிடுங்கள்,பின்தொடரவும்
Heart attack,ஆம்புலன்ஸ் அழைக்கவும்,ஆஸ்பிரின் மெல்லவும் அல்லது விழுங்கவும்,அமைதியாக இருங்கள்,உள்ளே
Pneumonia,மருத்துவரை அணுகவும்,மருந்து,ஓய்வு,பின்தொடரவும்
Arthritis,உடற்பயிற்சி,சூடான மற்றும் குளிர் சிகிச்சை பயன்படுத்தவும்,குத்தூசி மருத்துவம் முயற்சிக்கவும்,மசாஜ்
Gastroenteritis,திட உணவை சிறிது நேரம் நிறுத்துங்கள்,சிறிய சிப்ஸ் தண்ணீரை எடுக்க முயற்சிக்கவும்,ஓய்வு,எளிதாக சாப்பிட மீண்டும்
Tuberculosis,வாயை மூடு,மருத்துவரை அணுகவும்,மருந்து,ஓய்வு
Influenza,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
COVID-19,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Anemia,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Food Poisoning,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Bronchitis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Depression,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Insomnia,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Anxiety Disorder,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Hypertension (High BP),மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Stroke,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Kidney Stones,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Urinary Tract Infection (UTI),மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Conjunctivitis (Pink Eye),மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Tonsillitis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Measles,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Cholera,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Tetanus,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Rabies,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Ebola,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Zika Virus,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Mumps,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Rubella,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Whooping Cough,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Diphtheria,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Scabies,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Ringworm,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Lyme Disease,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Gout,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Fibromyalgia,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Osteoporosis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Appendicitis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Hernia,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Gallstones,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Pancreatitis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Liver Cirrhosis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Eczema,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Rosacea,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Melanoma,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Glaucoma,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Cataracts,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Otitis Media (Ear Infection),மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Sinusitis,மருத்துவரை அணுகவும்,ஓய்வு,நிறைய திரவங்களை குடிக்கவும்,அறிகுறிகளைக் கண்காணிக்கவும்
Malaria,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Typhoid,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Cholera,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Dengue,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
COVID-19,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Flu,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Diabetes,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hypertension,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Migraine,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Pneumonia,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Arthritis,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Asthma,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Tuberculosis,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chickenpox,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Measles,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Jaundice,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hepatitis A,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hepatitis B,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hepatitis C,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hepatitis D,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hepatitis E,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Bone Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Eye Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Ear Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Bone Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Thyroid Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Heart Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Lung Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Muscle Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Thyroid Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Kidney Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Muscle Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Heart Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Liver Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Skin Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Bone Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Thyroid Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Kidney Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Nerve Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Brain Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Blood Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Bone Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Brain Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Heart Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Nerve Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Ear Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Intestine Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Eye Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Skin Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Heart Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Eye Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Skin Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Joint Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Muscle Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Nerve Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Throat Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Kidney Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Liver Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Eye Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Joint Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Bone Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Blood Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Throat Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Eye Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Intestine Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Lung Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Kidney Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Bone Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Ear Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Blood Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Brain Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Liver Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Joint Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Heart Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Intestine Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Bone Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Joint Dysfunction,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Kidney Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Thyroid Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Thyroid Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Ear Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Bone Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Lung Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Joint Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Lung Syndrome,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Nerve Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Throat Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Intestine Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Severe Skin Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Thyroid Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Kidney Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Ear Inflammation,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Joint Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Acute Ear Disease,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Eye Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Idiopathic Skin Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Throat Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Bone Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Nerve Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Blood Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Lung Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Liver Tumor,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Liver Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Skin Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Hereditary Brain Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Metabolic Eye Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Mild Liver Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Nerve Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Joint Failure,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Septic Eye Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Nerve Infection,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Fungal Blood Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Bacterial Liver Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Viral Kidney Disorder,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Chronic Stomach Congestion,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Muscle Calculus,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Traumatic Kidney Degeneration,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Allergic Heart Damage,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
Autoimmune Thyroid Pain,மருத்துவரை அணுகவும்,ஓய்வு,திரவங்களை குடிக்கவும்,மருந்து
