Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Acne,ଦୁଇଥର ସ୍ନାନ କର |,ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ପ୍ରଚୁର ପାଣି ପିଅନ୍ତୁ |,ଅତ୍ୟଧିକ ଉତ୍ପାଦରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
Diabetes ,ସନ୍ତୁଳିତ ଖାଦ୍ୟ ଅଛି |,ବ୍ୟାୟାମ,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଅନୁସରଣ କର
Impetigo,ପ୍ରଭାବିତ ସ୍ଥାନକୁ ଉଷୁମ ପାଣିରେ ଭିଜାନ୍ତୁ |,ଆଣ୍ଟିବାୟୋଟିକ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ଓଦା ସଙ୍କୋଚିତ କପଡା ସହିତ ସ୍କାବଗୁଡିକ ବାହାର କରନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |
Hypertension ,ଧ୍ୟାନ |,ଲୁଣ ସ୍ନାନ |,ଚାପ ହ୍ରାସ କରନ୍ତୁ |,ଉପଯୁକ୍ତ ଶୋଇବା
Peptic ulcer diseae,ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ପ୍ରୋବାୟୋଟିକ୍ ଖାଦ୍ୟ ଖାଆନ୍ତୁ |,କ୍ଷୀର ଦୂର କରନ୍ତୁ |,ମଦ୍ୟପାନକୁ ସୀମିତ କରନ୍ତୁ |
Dimorphic hemmorhoids(piles),ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ଯାଦୁକର ହଜେଲ ଖାଆନ୍ତୁ |,ଇପ୍ସମ୍ ଲୁଣ ସହିତ ଗରମ ସ୍ନାନ |,ଆଲୋଭେରା ରସ ଖାଆନ୍ତୁ |
Common Cold,ଭିଟାମିନ୍ ସି ସମୃଦ୍ଧ ପାନୀୟ ପିଅନ୍ତୁ |,ବାଷ୍ପ ନିଅ,ଥଣ୍ଡା ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ଜ୍ୱରକୁ ନିୟନ୍ତ୍ରଣରେ ରଖନ୍ତୁ |
Chicken pox,ସ୍ନାନରେ ନିମ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ନିମ୍ ପତ୍ର ଖାଆନ୍ତୁ |,ଟିକା ନିଅ,ସର୍ବସାଧାରଣ ସ୍ଥାନଗୁଡିକୁ ଏଡ଼ାନ୍ତୁ |
Cervical spondylosis,ଗରମ ପ୍ୟାଡ୍ କିମ୍ବା କୋଲ୍ଡ ପ୍ୟାକ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ବ୍ୟାୟାମ,otc ଯନ୍ତ୍ରଣା ଉପଶମ ନିଅନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |
Hyperthyroidism,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ମସାଜ୍ କରନ୍ତୁ |,ଲେମ୍ବୁ ବଲମ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ରେଡିଓଆକ୍ଟିଭ୍ ଆୟୋଡିନ୍ ଚିକିତ୍ସା ନିଅ |
Urinary tract infection,ପ୍ରଚୁର ପାଣି ପିଅନ୍ତୁ |,ଭିଟାମିନ୍ ସି ଗ୍ରହଣ ବୃଦ୍ଧି କରନ୍ତୁ |,କ୍ରାନବେରୀ ରସ ପିଅନ୍ତୁ |,ପ୍ରୋବୋଟିକ୍ସ ନିଅ |
Varicose veins,ସମତଳ ହୋଇ ଶୋଇବା ଏବଂ ଗୋଡକୁ ଉଚ୍ଚ କର |,ତେଲ ବ୍ୟବହାର କରନ୍ତୁ |,ଶିରା ସଙ୍କୋଚନ ବ୍ୟବହାର କରନ୍ତୁ |,ଅଧିକ ସମୟ ପର୍ଯ୍ୟନ୍ତ ଠିଆ ହୁଅନ୍ତୁ ନାହିଁ |
AIDS,ଖୋଲା କାଟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ସମ୍ଭବ ହେଲେ ppe ପିନ୍ଧନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଅନୁସରଣ କର
Paralysis (brain hemorrhage),ମସାଜ୍ କରନ୍ତୁ |,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ବ୍ୟାୟାମ,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |
Typhoid,ଅଧିକ କ୍ୟାଲୋରୀ ଭେଜିଟେବଲ୍ ଖାଆନ୍ତୁ |,ଆଣ୍ଟିବୋଏଟିକ୍ ଥେରାପି |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ
Hepatitis B,ନିକଟସ୍ଥ ଡାକ୍ତରଖାନା ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଟୀକାକରଣ,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ication ଷଧ
Fungal infection,ଦୁଇଥର ସ୍ନାନ କର |,ଗାଧୋଇବା ପାଣିରେ ଡିଟୋଲ କିମ୍ବା ନିମ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ସଂକ୍ରମିତ ସ୍ଥାନକୁ ଶୁଖିଲା ରଖନ୍ତୁ |,ପରିଷ୍କାର କପଡା ବ୍ୟବହାର କରନ୍ତୁ |
Hepatitis C,ନିକଟସ୍ଥ ଡାକ୍ତରଖାନା ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ଟୀକାକରଣ,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ication ଷଧ
Migraine,ଧ୍ୟାନ |,ଚାପ ହ୍ରାସ କରନ୍ତୁ |,ସୂର୍ଯ୍ୟରେ ପୋଲୋରଏଡ୍ ଗ୍ଲାସ୍ ବ୍ୟବହାର କରନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |
Bronchial Asthma,ଖାଲି ପୋଷାକକୁ ସୁଇଚ୍ କରନ୍ତୁ |,ଗଭୀର ନିଶ୍ୱାସ ନିଅ,ଟ୍ରିଗରରୁ ଦୂରେଇ ଯାଅ |,ସାହାଯ୍ୟ ନିଅ
Alcoholic hepatitis,ମଦ୍ୟପାନ ବନ୍ଦ କରନ୍ତୁ |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ,ଅନୁସରଣ କର
Jaundice,ପ୍ରଚୁର ପାଣି ପିଅନ୍ତୁ |,କ୍ଷୀର କଣ୍ଟା ଖାଆନ୍ତୁ |,ଫଳ ଏବଂ ଉଚ୍ଚ ତନ୍ତୁଯୁକ୍ତ ଖାଦ୍ୟ ଖାଅ |,ication ଷଧ
Hepatitis E,ମଦ୍ୟପାନ ବନ୍ଦ କରନ୍ତୁ |,ବିଶ୍ରାମ,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ
Dengue,ପେପର ପତ୍ର ରସ ପିଅନ୍ତୁ |,ଚର୍ବିଯୁକ୍ତ ମସଲାଯୁକ୍ତ ଖାଦ୍ୟରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,ମଶାମାନଙ୍କୁ ଦୂରରେ ରଖନ୍ତୁ |,ହାଇଡ୍ରେଟେଡ୍ ରଖନ୍ତୁ |
Hepatitis D,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ,ସୁସ୍ଥ ଖାଆନ୍ତୁ |,ଅନୁସରଣ କର
Heart attack,ଆମ୍ବୁଲାନ୍ସକୁ କଲ୍ କରନ୍ତୁ |,ଆସ୍ପ୍ରିନ୍ ଚୋବା କିମ୍ବା ଗିଳିବା |,ଶାନ୍ତ ରୁହ,ଭିତରେ
Pneumonia,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ,ବିଶ୍ରାମ,ଅନୁସରଣ କର
Arthritis,ବ୍ୟାୟାମ,ଗରମ ଏବଂ ଥଣ୍ଡା ଥେରାପି ବ୍ୟବହାର କରନ୍ତୁ |,ଆକ୍ୟୁପେଙ୍କଟର୍ ଚେଷ୍ଟା କରନ୍ତୁ |,ମସାଜ୍ କରନ୍ତୁ |
Gastroenteritis,କିଛି ସମୟ ପାଇଁ କଠିନ ଖାଦ୍ୟ ଖାଇବା ବନ୍ଦ କର |,ଛୋଟ ଛୋଟ ପାଣି ପିଇବାକୁ ଚେଷ୍ଟା କରନ୍ତୁ |,ବିଶ୍ରାମ,ଖାଇବାରେ ସହଜ କରନ୍ତୁ |
Tuberculosis,ମୁଖକୁ ଆଚ୍ଛାଦନ କର |,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ication ଷଧ,ବିଶ୍ରାମ
Influenza,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
COVID-19,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Anemia,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Food Poisoning,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Bronchitis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Depression,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Insomnia,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Anxiety Disorder,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Hypertension (High BP),ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Stroke,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Kidney Stones,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Urinary Tract Infection (UTI),ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Conjunctivitis (Pink Eye),ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Tonsillitis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Measles,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Cholera,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Tetanus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Rabies,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Ebola,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Zika Virus,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Mumps,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Rubella,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Whooping Cough,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Diphtheria,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Scabies,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Ringworm,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Lyme Disease,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Gout,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Fibromyalgia,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Osteoporosis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Appendicitis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Hernia,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Gallstones,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Pancreatitis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Liver Cirrhosis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Eczema,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Rosacea,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Melanoma,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Glaucoma,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Cataracts,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Otitis Media (Ear Infection),ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Sinusitis,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ପ୍ରଚୁର ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ଲକ୍ଷଣଗୁଡିକ ଉପରେ ନଜର ରଖନ୍ତୁ |
Malaria,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Typhoid,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Cholera,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Dengue,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
COVID-19,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
Flu,ଡାକ୍ତରଙ୍କ ସହିତ ପରାମର୍ଶ କରନ୍ତୁ |,ବିଶ୍ରାମ,ତରଳ ପଦାର୍ଥ ପିଅନ୍ତୁ |,ication ଷଧ
