Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Dengue,पपीते के पत्ते का रस पियें,वसायुक्त मसालेदार भोजन से बचें,मच्छरों को दूर रखें,हाइड्रेटेड रखें
Hepatitis D,डॉक्टर से सलाह लें,दवाई,स्वस्थ खाएं,पालन ​​करें
Heart attack,एम्बुलेंस को बुलाओ,एस्प्रिन चबाएं या निगल लें,शांत रहें,में
Pneumonia,डॉक्टर से सलाह लें,दवाई,आराम,पालन ​​करें
Arthritis,व्यायाम,गर्म और ठंडी चिकित्सा का प्रयोग करें,एक्यूपंक्चर का प्रयास करें,मालिश
Gastroenteritis,कुछ समय के लिए ठोस भोजन खाना बंद कर दें,पानी के छोटे घूंट पीने का प्रयास करें,आराम,खाने में आसानी
Tuberculosis,मुंह ढकें,डॉक्टर से सलाह लें,दवाई,आराम
Influenza,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
COVID-19,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Anemia,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Food Poisoning,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Bronchitis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Depression,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Insomnia,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Anxiety Disorder,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Hypertension (High BP),डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Stroke,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Kidney Stones,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Urinary Tract Infection (UTI),डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Conjunctivitis (Pink Eye),डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Tonsillitis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Measles,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Cholera,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Tetanus,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Rabies,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Ebola,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Zika Virus,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Mumps,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Rubella,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Whooping Cough,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Diphtheria,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Scabies,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Ringworm,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Lyme Disease,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Gout,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Fibromyalgia,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Osteoporosis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Appendicitis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Hernia,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Gallstones,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Pancreatitis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Liver Cirrhosis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Eczema,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Rosacea,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Melanoma,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Glaucoma,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Cataracts,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Otitis Media (Ear Infection),डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Sinusitis,डॉक्टर से सलाह लें,आराम,खूब सारे तरल पदार्थ पियें,लक्षणों की निगरानी करें
Malaria,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Typhoid,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Cholera,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Dengue,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
COVID-19,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Flu,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Diabetes,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hypertension,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Migraine,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Pneumonia,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Arthritis,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Asthma,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Tuberculosis,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chickenpox,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Measles,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Jaundice,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hepatitis A,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hepatitis B,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hepatitis C,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hepatitis D,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hepatitis E,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Bone Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Eye Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Ear Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Bone Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Thyroid Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Heart Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Muscle Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Thyroid Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Kidney Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Muscle Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Heart Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Liver Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Skin Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Bone Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Thyroid Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Kidney Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Nerve Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Brain Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Blood Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Bone Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Brain Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Heart Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Nerve Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Ear Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Intestine Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Eye Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Skin Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Heart Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Eye Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Skin Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Joint Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Muscle Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Nerve Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Throat Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Kidney Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Liver Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Eye Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Joint Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Bone Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Blood Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Throat Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Eye Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Intestine Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Lung Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Bone Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Ear Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Blood Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Brain Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Liver Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Joint Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Heart Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Intestine Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Bone Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Joint Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Kidney Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Thyroid Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Thyroid Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Ear Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Bone Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Lung Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Joint Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Lung Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Nerve Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Throat Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Intestine Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Skin Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Thyroid Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Kidney Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Ear Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Joint Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Ear Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Eye Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Skin Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Throat Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Bone Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Nerve Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Blood Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Lung Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Liver Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Liver Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Skin Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Brain Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Eye Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Liver Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Nerve Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Joint Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Eye Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Nerve Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Blood Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Liver Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Kidney Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Stomach Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Kidney Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Heart Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Thyroid Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Throat Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Ear Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Lung Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Kidney Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Ear Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Liver Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Blood Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Kidney Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Intestine Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Liver Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Blood Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Throat Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Brain Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Eye Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Kidney Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Eye Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Kidney Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Kidney Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Heart Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Liver Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Skin Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Blood Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Muscle Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Mild Intestine Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Nerve Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Blood Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Chronic Heart Congestion,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Kidney Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Heart Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Eye Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Septic Skin Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Liver Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Liver Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Blood Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Joint Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Heart Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Eye Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Kidney Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Throat Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Muscle Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Skin Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Lung Damage,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Intestine Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Hereditary Eye Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Brain Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Viral Skin Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Brain Calculus,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Heart Degeneration,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Allergic Stomach Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Severe Eye Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Idiopathic Brain Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Ear Inflammation,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Nerve Disorder,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Metabolic Liver Failure,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Blood Syndrome,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Lung Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Acute Eye Disease,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Fungal Eye Pain,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Autoimmune Liver Infection,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Traumatic Skin Tumor,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
Bacterial Bone Dysfunction,डॉक्टर से सलाह लें,आराम,तरल पदार्थ पीना,दवाई
