Disease,Description
Allergy (Mild),"A specific variant of Allergy. Requires medical attention."
Allergy (Severe),"A specific variant of Allergy. Requires medical attention."
Allergy (Stage 1),"A specific variant of Allergy. Requires medical attention."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Anemia (Acute),"A specific variant of Anemia. Requires medical attention."
Anemia (Chronic),"A specific variant of Anemia. Requires medical attention."
Anemia (Mild),"A specific variant of Anemia. Requires medical attention."
Anemia (Severe),"A specific variant of Anemia. Requires medical attention."
Anemia (Stage 1),"A specific variant of Anemia. Requires medical attention."
Anemia,"A medical condition characterized by fatigue, weakness, pale_skin."
Anxiety Disorder (Acute),"A specific variant of Anxiety Disorder. Requires medical attention."
Anxiety Disorder (Chronic),"A specific variant of Anxiety Disorder. Requires medical attention."
Anxiety Disorder (Mild),"A specific variant of Anxiety Disorder. Requires medical attention."
Anxiety Disorder (Severe),"A specific variant of Anxiety Disorder. Requires medical attention."
Anxiety Disorder (Stage 1),"A specific variant of Anxiety Disorder. Requires medical attention."
Anxiety Disorder,"A medical condition characterized by feeling_nervous, feeling_restless, panic."
Appendicitis (Acute),"A specific variant of Appendicitis. Requires medical attention."
Appendicitis (Chronic),"A specific variant of Appendicitis. Requires medical attention."
Appendicitis (Mild),"A specific variant of Appendicitis. Requires medical attention."
Appendicitis (Severe),"A specific variant of Appendicitis. Requires medical attention."
Appendicitis (Stage 1),"A specific variant of Appendicitis. Requires medical attention."
Appendicitis,"A medical condition characterized by sudden_pain_on_right_side, pain_worsens_if_cough, nausea."
Arthritis (Acute),"A specific variant of Arthritis. Requires medical attention."
Arthritis (Chronic),"A specific variant of Arthritis. Requires medical attention."
Arthritis (Mild),"A specific variant of Arthritis. Requires medical attention."
Arthritis (Severe),"A specific variant of Arthritis. Requires medical attention."
Arthritis (Stage 1),"A specific variant of Arthritis. Requires medical attention."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Bronchial Asthma (Acute),"A specific variant of Bronchial Asthma. Requires medical attention."
Bronchial Asthma (Chronic),"A specific variant of Bronchial Asthma. Requires medical attention."
Bronchial Asthma (Mild),"A specific variant of Bronchial Asthma. Requires medical attention."
Bronchial Asthma (Severe),"A specific variant of Bronchial Asthma. Requires medical attention."
Bronchial Asthma (Stage 1),"A specific variant of Bronchial Asthma. Requires medical attention."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchitis (Acute),"A specific variant of Bronchitis. Requires medical attention."
Bronchitis (Chronic),"A specific variant of Bronchitis. Requires medical attention."
Bronchitis (Mild),"A specific variant of Bronchitis. Requires medical attention."
Bronchitis (Severe),"A specific variant of Bronchitis. Requires medical attention."
Bronchitis (Stage 1),"A specific variant of Bronchitis. Requires medical attention."
Bronchitis,"A medical condition characterized by cough, production_of_mucus, fatigue."
COVID-19 (Acute),"A specific variant of COVID-19. Requires medical attention."
COVID-19 (Chronic),"A specific variant of COVID-19. Requires medical attention."
COVID-19 (Mild),"A specific variant of COVID-19. Requires medical attention."
COVID-19 (Severe),"A specific variant of COVID-19. Requires medical attention."
COVID-19 (Stage 1),"A specific variant of COVID-19. Requires medical attention."
COVID-19,"A medical condition characterized by fever, cough, tiredness."
Cataracts (Acute),"A specific variant of Cataracts. Requires medical attention."
Cataracts (Chronic),"A specific variant of Cataracts. Requires medical attention."
Cataracts (Mild),"A specific variant of Cataracts. Requires medical attention."
Cataracts (Severe),"A specific variant of Cataracts. Requires medical attention."
Cataracts (Stage 1),"A specific variant of Cataracts. Requires medical attention."
Cataracts,"A medical condition characterized by clouded_delayed_or_dim_vision, increasing_difficulty_with_vision_at_night, sensitivity_to_light."
Cervical spondylosis (Acute),"A specific variant of Cervical spondylosis. Requires medical attention."
Cervical spondylosis (Chronic),"A specific variant of Cervical spondylosis. Requires medical attention."
Cervical spondylosis (Mild),"A specific variant of Cervical spondylosis. Requires medical attention."
Cervical spondylosis (Severe),"A specific variant of Cervical spondylosis. Requires medical attention."
Cervical spondylosis (Stage 1),"A specific variant of Cervical spondylosis. Requires medical attention."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Chicken pox (Acute),"A specific variant of Chicken pox. Requires medical attention."
Chicken pox (Chronic),"A specific variant of Chicken pox. Requires medical attention."
Chicken pox (Mild),"A specific variant of Chicken pox. Requires medical attention."
Chicken pox (Severe),"A specific variant of Chicken pox. Requires medical attention."
Chicken pox (Stage 1),"A specific variant of Chicken pox. Requires medical attention."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chikungunya,"Common condition in Tamil Nadu/Tropical regions. Chikungunya requires timely care."
Cholera (Acute),"A specific variant of Cholera. Requires medical attention."
Cholera (Chronic),"A specific variant of Cholera. Requires medical attention."
Cholera (Mild),"A specific variant of Cholera. Requires medical attention."
Cholera (Severe),"A specific variant of Cholera. Requires medical attention."
Cholera (Stage 1),"A specific variant of Cholera. Requires medical attention."
Cholera,"A medical condition characterized by diarrhea, nausea, vomiting."
Chronic cholestasis (Acute),"A specific variant of Chronic cholestasis. Requires medical attention."
Chronic cholestasis (Chronic),"A specific variant of Chronic cholestasis. Requires medical attention."
Chronic cholestasis (Mild),"A specific variant of Chronic cholestasis. Requires medical attention."
Chronic cholestasis (Severe),"A specific variant of Chronic cholestasis. Requires medical attention."
Chronic cholestasis (Stage 1),"A specific variant of Chronic cholestasis. Requires medical attention."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Common Cold (Acute),"A specific variant of Common Cold. Requires medical attention."
Common Cold (Chronic),"A specific variant of Common Cold. Requires medical attention."
Common Cold (Mild),"A specific variant of Common Cold. Requires medical attention."
Common Cold (Severe),"A specific variant of Common Cold. Requires medical attention."
Common Cold (Stage 1),"A specific variant of Common Cold. Requires medical attention."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Conjunctivitis (Pink Eye) (Acute),"A specific variant of Conjunctivitis. Requires medical attention."
Conjunctivitis (Pink Eye) (Chronic),"A specific variant of Conjunctivitis. Requires medical attention."
Conjunctivitis (Pink Eye) (Mild),"A specific variant of Conjunctivitis. Requires medical attention."
Conjunctivitis (Pink Eye) (Severe),"A specific variant of Conjunctivitis. Requires medical attention."
Conjunctivitis (Pink Eye) (Stage 1),"A specific variant of Conjunctivitis. Requires medical attention."
Conjunctivitis (Pink Eye),"A medical condition characterized by redness_in_one_or_both_eyes, itchiness_in_one_or_both_eyes, tearing."
Dengue (Acute),"A specific variant of Dengue. Requires medical attention."
Dengue (Chronic),"A specific variant of Dengue. Requires medical attention."
Dengue (Mild),"A specific variant of Dengue. Requires medical attention."
Dengue (Severe),"A specific variant of Dengue. Requires medical attention."
Dengue (Stage 1),"A specific variant of Dengue. Requires medical attention."
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Depression (Acute),"A specific variant of Depression. Requires medical attention."
Depression (Chronic),"A specific variant of Depression. Requires medical attention."
Depression (Mild),"A specific variant of Depression. Requires medical attention."
Depression (Severe),"A specific variant of Depression. Requires medical attention."
Depression (Stage 1),"A specific variant of Depression. Requires medical attention."
Depression,"A medical condition characterized by hopelessness, loss_of_interest, fatigue."
Diabetes  (Acute),"A specific variant of Diabetes. Requires medical attention."
Diabetes  (Chronic),"A specific variant of Diabetes. Requires medical attention."
Diabetes  (Mild),"A specific variant of Diabetes. Requires medical attention."
Diabetes  (Severe),"A specific variant of Diabetes. Requires medical attention."
Diabetes  (Stage 1),"A specific variant of Diabetes. Requires medical attention."
Diabetes ,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetic Foot Ulcer,"Common condition in Tamil Nadu/Tropical regions. Diabetic Foot Ulcer requires timely care."
Dimorphic hemmorhoids(piles) (Acute),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Dimorphic hemmorhoids(piles) (Chronic),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Dimorphic hemmorhoids(piles) (Mild),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Dimorphic hemmorhoids(piles) (Severe),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Dimorphic hemmorhoids(piles) (Stage 1),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Dimorphic hemmorhoids(piles),"A specific variant of Dimorphic hemmorhoids. Requires medical attention."
Diphtheria (Acute),"A specific variant of Diphtheria. Requires medical attention."
Diphtheria (Chronic),"A specific variant of Diphtheria. Requires medical attention."
Diphtheria (Mild),"A specific variant of Diphtheria. Requires medical attention."
Diphtheria (Severe),"A specific variant of Diphtheria. Requires medical attention."
Diphtheria (Stage 1),"A specific variant of Diphtheria. Requires medical attention."
Diphtheria,"A medical condition characterized by thick_gray_membrane_covering_throat, sore_throat, swollen_glands."
Drug Reaction (Acute),"A specific variant of Drug Reaction. Requires medical attention."
Drug Reaction (Chronic),"A specific variant of Drug Reaction. Requires medical attention."
Drug Reaction (Mild),"A specific variant of Drug Reaction. Requires medical attention."
Drug Reaction (Severe),"A specific variant of Drug Reaction. Requires medical attention."
Drug Reaction (Stage 1),"A specific variant of Drug Reaction. Requires medical attention."
Drug Reaction,"An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs."
Ebola (Acute),"A specific variant of Ebola. Requires medical attention."
Ebola (Chronic),"A specific variant of Ebola. Requires medical attention."
Ebola (Mild),"A specific variant of Ebola. Requires medical attention."
Ebola (Severe),"A specific variant of Ebola. Requires medical attention."
Ebola (Stage 1),"A specific variant of Ebola. Requires medical attention."
Ebola,"A medical condition characterized by fever, severe_headache, joint_and_muscle_aches."
Eczema (Acute),"A specific variant of Eczema. Requires medical attention."
Eczema (Chronic),"A specific variant of Eczema. Requires medical attention."
Eczema (Mild),"A specific variant of Eczema. Requires medical attention."
Eczema (Severe),"A specific variant of Eczema. Requires medical attention."
Eczema (Stage 1),"A specific variant of Eczema. Requires medical attention."
Eczema,"A medical condition characterized by dry_skin, itching, red_to_brownish_gray_patches."
Fibromyalgia (Acute),"A specific variant of Fibromyalgia. Requires medical attention."
Fibromyalgia (Chronic),"A specific variant of Fibromyalgia. Requires medical attention."
Fibromyalgia (Mild),"A specific variant of Fibromyalgia. Requires medical attention."
Fibromyalgia (Severe),"A specific variant of Fibromyalgia. Requires medical attention."
Fibromyalgia (Stage 1),"A specific variant of Fibromyalgia. Requires medical attention."
Fibromyalgia,"A medical condition characterized by widespread_pain, fatigue, cognitive_difficulties."
Filariasis,"Common condition in Tamil Nadu/Tropical regions. Filariasis requires timely care."
Food Poisoning (Acute),"A specific variant of Food Poisoning. Requires medical attention."
Food Poisoning (Chronic),"A specific variant of Food Poisoning. Requires medical attention."
Food Poisoning (Mild),"A specific variant of Food Poisoning. Requires medical attention."
Food Poisoning (Severe),"A specific variant of Food Poisoning. Requires medical attention."
Food Poisoning (Stage 1),"A specific variant of Food Poisoning. Requires medical attention."
Food Poisoning,"A medical condition characterized by nausea, vomiting, watery_diarrhea."
Fungal infection (Acute),"A specific variant of Fungal infection. Requires medical attention."
Fungal infection (Chronic),"A specific variant of Fungal infection. Requires medical attention."
Fungal infection (Mild),"A specific variant of Fungal infection. Requires medical attention."
Fungal infection (Severe),"A specific variant of Fungal infection. Requires medical attention."
Fungal infection (Stage 1),"A specific variant of Fungal infection. Requires medical attention."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
GERD (Acute),"A specific variant of GERD. Requires medical attention."
GERD (Chronic),"A specific variant of GERD. Requires medical attention."
GERD (Mild),"A specific variant of GERD. Requires medical attention."
GERD (Severe),"A specific variant of GERD. Requires medical attention."
GERD (Stage 1),"A specific variant of GERD. Requires medical attention."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD."
Gallstones (Acute),"A specific variant of Gallstones. Requires medical attention."
Gallstones (Chronic),"A specific variant of Gallstones. Requires medical attention."
Gallstones (Mild),"A specific variant of Gallstones. Requires medical attention."
Gallstones (Severe),"A specific variant of Gallstones. Requires medical attention."
Gallstones (Stage 1),"A specific variant of Gallstones. Requires medical attention."
Gallstones,"A medical condition characterized by sudden_pain_in_upper_right_abdomen, sudden_pain_in_center_abdomen, back_pain."
Gastroenteritis (Acute),"A specific variant of Gastroenteritis. Requires medical attention."
Gastroenteritis (Chronic),"A specific variant of Gastroenteritis. Requires medical attention."
Gastroenteritis (Mild),"A specific variant of Gastroenteritis. Requires medical attention."
Gastroenteritis (Severe),"A specific variant of Gastroenteritis. Requires medical attention."
Gastroenteritis (Stage 1),"A specific variant of Gastroenteritis. Requires medical attention."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Glaucoma (Acute),"A specific variant of Glaucoma. Requires medical attention."
Glaucoma (Chronic),"A specific variant of Glaucoma. Requires medical attention."
Glaucoma (Mild),"A specific variant of Glaucoma. Requires medical attention."
Glaucoma (Severe),"A specific variant of Glaucoma. Requires medical attention."
Glaucoma (Stage 1),"A specific variant of Glaucoma. Requires medical attention."
Glaucoma,"A medical condition characterized by patchy_blind_spots, tunnel_vision, severe_headache."
Gout (Acute),"A specific variant of Gout. Requires medical attention."
Gout (Chronic),"A specific variant of Gout. Requires medical attention."
Gout (Mild),"A specific variant of Gout. Requires medical attention."
Gout (Severe),"A specific variant of Gout. Requires medical attention."
Gout (Stage 1),"A specific variant of Gout. Requires medical attention."
Gout,"A medical condition characterized by intense_joint_pain, lingering_discomfort, inflammation_and_redness."
Heart attack (Acute),"A specific variant of Heart attack. Requires medical attention."
Heart attack (Chronic),"A specific variant of Heart attack. Requires medical attention."
Heart attack (Mild),"A specific variant of Heart attack. Requires medical attention."
Heart attack (Severe),"A specific variant of Heart attack. Requires medical attention."
Heart attack (Stage 1),"A specific variant of Heart attack. Requires medical attention."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Heat Stroke,"Common condition in Tamil Nadu/Tropical regions. Heat Stroke requires timely care."
Hepatitis B (Acute),"A specific variant of Hepatitis B. Requires medical attention."
Hepatitis B (Chronic),"A specific variant of Hepatitis B. Requires medical attention."
Hepatitis B (Mild),"A specific variant of Hepatitis B. Requires medical attention."
Hepatitis B (Severe),"A specific variant of Hepatitis B. Requires medical attention."
Hepatitis B (Stage 1),"A specific variant of Hepatitis B. Requires medical attention."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis C (Acute),"A specific variant of Hepatitis C. Requires medical attention."
Hepatitis C (Chronic),"A specific variant of Hepatitis C. Requires medical attention."
Hepatitis C (Mild),"A specific variant of Hepatitis C. Requires medical attention."
Hepatitis C (Severe),"A specific variant of Hepatitis C. Requires medical attention."
Hepatitis C (Stage 1),"A specific variant of Hepatitis C. Requires medical attention."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis D (Acute),"A specific variant of Hepatitis D. Requires medical attention."
Hepatitis D (Chronic),"A specific variant of Hepatitis D. Requires medical attention."
Hepatitis D (Mild),"A specific variant of Hepatitis D. Requires medical attention."
Hepatitis D (Severe),"A specific variant of Hepatitis D. Requires medical attention."
Hepatitis D (Stage 1),"A specific variant of Hepatitis D. Requires medical attention."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis E (Acute),"A specific variant of Hepatitis E. Requires medical attention."
Hepatitis E (Chronic),"A specific variant of Hepatitis E. Requires medical attention."
Hepatitis E (Mild),"A specific variant of Hepatitis E. Requires medical attention."
Hepatitis E (Severe),"A specific variant of Hepatitis E. Requires medical attention."
Hepatitis E (Stage 1),"A specific variant of Hepatitis E. Requires medical attention."
Hepatitis E,"A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease."
Hernia (Acute),"A specific variant of Hernia. Requires medical attention."
Hernia (Chronic),"A specific variant of Hernia. Requires medical attention."
Hernia (Mild),"A specific variant of Hernia. Requires medical attention."
Hernia (Severe),"A specific variant of Hernia. Requires medical attention."
Hernia (Stage 1),"A specific variant of Hernia. Requires medical attention."
Hernia,"A medical condition characterized by bulge_or_lump, pain_or_discomfort, weakness_or_pressure."
Hypertension  (Acute),"A specific variant of Hypertension. Requires medical attention."
Hypertension  (Chronic),"A specific variant of Hypertension. Requires medical attention."
Hypertension  (Mild),"A specific variant of Hypertension. Requires medical attention."
Hypertension  (Severe),"A specific variant of Hypertension. Requires medical attention."
Hypertension  (Stage 1),"A specific variant of Hypertension. Requires medical attention."
Hypertension (Acute),"A specific variant of Hypertension. Requires medical attention."
Hypertension (Chronic),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP) (Acute),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP) (Chronic),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP) (Mild),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP) (Severe),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP) (Stage 1),"A specific variant of Hypertension. Requires medical attention."
Hypertension (High BP),"A medical condition characterized by severe_headache, nosebleed, fatigue."
Hypertension (Mild),"A specific variant of Hypertension. Requires medical attention."
Hypertension (Severe),"A specific variant of Hypertension. Requires medical attention."
Hypertension (Stage 1),"A specific variant of Hypertension. Requires medical attention."
Hypertension ,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms."
Hyperthyroidism (Acute),"A specific variant of Hyperthyroidism. Requires medical attention."
Hyperthyroidism (Chronic),"A specific variant of Hyperthyroidism. Requires medical attention."
Hyperthyroidism (Mild),"A specific variant of Hyperthyroidism. Requires medical attention."
Hyperthyroidism (Severe),"A specific variant of Hyperthyroidism. Requires medical attention."
Hyperthyroidism (Stage 1),"A specific variant of Hyperthyroidism. Requires medical attention."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Hypoglycemia (Acute),"A specific variant of Hypoglycemia. Requires medical attention."
Hypoglycemia (Chronic),"A specific variant of Hypoglycemia. Requires medical attention."
Hypoglycemia (Mild),"A specific variant of Hypoglycemia. Requires medical attention."
Hypoglycemia (Severe),"A specific variant of Hypoglycemia. Requires medical attention."
Hypoglycemia (Stage 1),"A specific variant of Hypoglycemia. Requires medical attention."
Hypoglycemia,"Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes."
Hypothyroidism (Acute),"A specific variant of Hypothyroidism. Requires medical attention."
Hypothyroidism (Chronic),"A specific variant of Hypothyroidism. Requires medical attention."
Hypothyroidism (Mild),"A specific variant of Hypothyroidism. Requires medical attention."
Hypothyroidism (Severe),"A specific variant of Hypothyroidism. Requires medical attention."
Hypothyroidism (Stage 1),"A specific variant of Hypothyroidism. Requires medical attention."
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
Impetigo (Acute),"A specific variant of Impetigo. Requires medical attention."
Impetigo (Chronic),"A specific variant of Impetigo. Requires medical attention."
Impetigo (Mild),"A specific variant of Impetigo. Requires medical attention."
Impetigo (Severe),"A specific variant of Impetigo. Requires medical attention."
Impetigo (Stage 1),"A specific variant of Impetigo. Requires medical attention."
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
Influenza (Acute),"A specific variant of Influenza. Requires medical attention."
Influenza (Chronic),"A specific variant of Influenza. Requires medical attention."
Influenza (Mild),"A specific variant of Influenza. Requires medical attention."
Influenza (Severe),"A specific variant of Influenza. Requires medical attention."
Influenza (Stage 1),"A specific variant of Influenza. Requires medical attention."
Influenza,"A medical condition characterized by fever, chills, muscle_aches."
Insomnia (Acute),"A specific variant of Insomnia. Requires medical attention."
Insomnia (Chronic),"A specific variant of Insomnia. Requires medical attention."
Insomnia (Mild),"A specific variant of Insomnia. Requires medical attention."
Insomnia (Severe),"A specific variant of Insomnia. Requires medical attention."
Insomnia (Stage 1),"A specific variant of Insomnia. Requires medical attention."
Insomnia,"A medical condition characterized by difficulty_falling_asleep, waking_up_during_night, waking_up_too_early."
Iron Deficiency Anemia,"Common condition in Tamil Nadu/Tropical regions. Iron Deficiency Anemia requires timely care."
Jaundice (Acute),"A specific variant of Jaundice. Requires medical attention."
Jaundice (Chronic),"A specific variant of Jaundice. Requires medical attention."
Jaundice (Mild),"A specific variant of Jaundice. Requires medical attention."
Jaundice (Severe),"A specific variant of Jaundice. Requires medical attention."
Jaundice (Stage 1),"A specific variant of Jaundice. Requires medical attention."
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
Kidney Stones (Acute),"A specific variant of Kidney Stones. Requires medical attention."
Kidney Stones (Chronic),"A specific variant of Kidney Stones. Requires medical attention."
Kidney Stones (Mild),"A specific variant of Kidney Stones. Requires medical attention."
Kidney Stones (Severe),"A specific variant of Kidney Stones. Requires medical attention."
Kidney Stones (Stage 1),"A specific variant of Kidney Stones. Requires medical attention."
Kidney Stones,"A medical condition characterized by severe_pain_in_side_and_back, pain_on_urination, pink_red_or_brown_urine."
Leptospirosis,"Common condition in Tamil Nadu/Tropical regions. Leptospirosis requires timely care."
Liver Cirrhosis (Acute),"A specific variant of Liver Cirrhosis. Requires medical attention."
Liver Cirrhosis (Chronic),"A specific variant of Liver Cirrhosis. Requires medical attention."
Liver Cirrhosis (Mild),"A specific variant of Liver Cirrhosis. Requires medical attention."
Liver Cirrhosis (Severe),"A specific variant of Liver Cirrhosis. Requires medical attention."
Liver Cirrhosis (Stage 1),"A specific variant of Liver Cirrhosis. Requires medical attention."
Liver Cirrhosis,"A medical condition characterized by fatigue, easily_bleeding_or_bruising, loss_of_appetite."
Lyme Disease (Acute),"A specific variant of Lyme Disease. Requires medical attention."
Lyme Disease (Chronic),"A specific variant of Lyme Disease. Requires medical attention."
Lyme Disease (Mild),"A specific variant of Lyme Disease. Requires medical attention."
Lyme Disease (Severe),"A specific variant of Lyme Disease. Requires medical attention."
Lyme Disease (Stage 1),"A specific variant of Lyme Disease. Requires medical attention."
Lyme Disease,"A specific variant of Lyme Disease. Requires medical attention."
Madras Eye (Conjunctivitis),"Common condition in Tamil Nadu/Tropical regions. Madras Eye (Conjunctivitis) requires timely care."
Malaria (Acute),"A specific variant of Malaria. Requires medical attention."
Malaria (Chronic),"A specific variant of Malaria. Requires medical attention."
Malaria (Mild),"A specific variant of Malaria. Requires medical attention."
Malaria (Severe),"A specific variant of Malaria. Requires medical attention."
Malaria (Stage 1),"A specific variant of Malaria. Requires medical attention."
Malaria,"An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type."
