Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
Allergic Blood Inflammation,consult doctor,rest,drink fluids,medication
Acute Throat Damage,consult doctor,rest,drink fluids,medication
Septic Eye Tumor,consult doctor,rest,drink fluids,medication
Metabolic Intestine Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Lung Pain,consult doctor,rest,drink fluids,medication
Hereditary Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Severe Bone Failure,consult doctor,rest,drink fluids,medication
Septic Ear Infection,consult doctor,rest,drink fluids,medication
Chronic Blood Syndrome,consult doctor,rest,drink fluids,medication
Septic Brain Disease,consult doctor,rest,drink fluids,medication
Severe Liver Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Joint Degeneration,consult doctor,rest,drink fluids,medication
Severe Heart Damage,consult doctor,rest,drink fluids,medication
Mild Intestine Infection,consult doctor,rest,drink fluids,medication
Traumatic Bone Damage,consult doctor,rest,drink fluids,medication
Severe Joint Dysfunction,consult doctor,rest,drink fluids,medication
Traumatic Kidney Disorder,consult doctor,rest,drink fluids,medication
Traumatic Thyroid Calculus,consult doctor,rest,drink fluids,medication
Severe Thyroid Calculus,consult doctor,rest,drink fluids,medication
Idiopathic Ear Failure,consult doctor,rest,drink fluids,medication
Bacterial Bone Disorder,consult doctor,rest,drink fluids,medication
Traumatic Lung Disease,consult doctor,rest,drink fluids,medication
Septic Joint Disorder,consult doctor,rest,drink fluids,medication
Viral Lung Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Nerve Failure,consult doctor,rest,drink fluids,medication
Idiopathic Throat Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Intestine Failure,consult doctor,rest,drink fluids,medication
Severe Skin Inflammation,consult doctor,rest,drink fluids,medication
Allergic Thyroid Inflammation,consult doctor,rest,drink fluids,medication
Allergic Kidney Infection,consult doctor,rest,drink fluids,medication
Allergic Ear Inflammation,consult doctor,rest,drink fluids,medication
Autoimmune Joint Failure,consult doctor,rest,drink fluids,medication
Acute Ear Disease,consult doctor,rest,drink fluids,medication
Autoimmune Eye Damage,consult doctor,rest,drink fluids,medication
Idiopathic Skin Infection,consult doctor,rest,drink fluids,medication
Bacterial Throat Tumor,consult doctor,rest,drink fluids,medication
Septic Bone Infection,consult doctor,rest,drink fluids,medication
Bacterial Nerve Pain,consult doctor,rest,drink fluids,medication
Chronic Blood Pain,consult doctor,rest,drink fluids,medication
Septic Lung Damage,consult doctor,rest,drink fluids,medication
Hereditary Liver Tumor,consult doctor,rest,drink fluids,medication
Traumatic Liver Failure,consult doctor,rest,drink fluids,medication
Fungal Skin Congestion,consult doctor,rest,drink fluids,medication
Hereditary Brain Failure,consult doctor,rest,drink fluids,medication
Metabolic Eye Calculus,consult doctor,rest,drink fluids,medication
Mild Liver Degeneration,consult doctor,rest,drink fluids,medication
Allergic Nerve Damage,consult doctor,rest,drink fluids,medication
Septic Joint Failure,consult doctor,rest,drink fluids,medication
Septic Eye Damage,consult doctor,rest,drink fluids,medication
Chronic Nerve Infection,consult doctor,rest,drink fluids,medication
Fungal Blood Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Liver Disorder,consult doctor,rest,drink fluids,medication
Viral Kidney Disorder,consult doctor,rest,drink fluids,medication
Chronic Stomach Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Muscle Calculus,consult doctor,rest,drink fluids,medication
Traumatic Kidney Degeneration,consult doctor,rest,drink fluids,medication
Allergic Heart Damage,consult doctor,rest,drink fluids,medication
Autoimmune Thyroid Pain,consult doctor,rest,drink fluids,medication
Chronic Throat Congestion,consult doctor,rest,drink fluids,medication
Viral Ear Syndrome,consult doctor,rest,drink fluids,medication
Viral Lung Degeneration,consult doctor,rest,drink fluids,medication
Chronic Kidney Disorder,consult doctor,rest,drink fluids,medication
Septic Ear Syndrome,consult doctor,rest,drink fluids,medication
Septic Liver Syndrome,consult doctor,rest,drink fluids,medication
Hereditary Blood Failure,consult doctor,rest,drink fluids,medication
Allergic Kidney Tumor,consult doctor,rest,drink fluids,medication
Fungal Intestine Infection,consult doctor,rest,drink fluids,medication
Autoimmune Liver Syndrome,consult doctor,rest,drink fluids,medication
Hereditary Blood Damage,consult doctor,rest,drink fluids,medication
Fungal Throat Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Brain Infection,consult doctor,rest,drink fluids,medication
Chronic Eye Congestion,consult doctor,rest,drink fluids,medication
Hereditary Kidney Pain,consult doctor,rest,drink fluids,medication
Severe Eye Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Kidney Dysfunction,consult doctor,rest,drink fluids,medication
Allergic Kidney Disease,consult doctor,rest,drink fluids,medication
Viral Heart Infection,consult doctor,rest,drink fluids,medication
Allergic Liver Disease,consult doctor,rest,drink fluids,medication
Autoimmune Skin Calculus,consult doctor,rest,drink fluids,medication
Mild Blood Calculus,consult doctor,rest,drink fluids,medication
Autoimmune Muscle Dysfunction,consult doctor,rest,drink fluids,medication
Mild Intestine Degeneration,consult doctor,rest,drink fluids,medication
Allergic Nerve Syndrome,consult doctor,rest,drink fluids,medication
Acute Blood Pain,consult doctor,rest,drink fluids,medication
Chronic Heart Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Kidney Disorder,consult doctor,rest,drink fluids,medication
Viral Heart Disease,consult doctor,rest,drink fluids,medication
Fungal Eye Damage,consult doctor,rest,drink fluids,medication
Septic Skin Calculus,consult doctor,rest,drink fluids,medication
Fungal Liver Infection,consult doctor,rest,drink fluids,medication
Hereditary Liver Degeneration,consult doctor,rest,drink fluids,medication
Allergic Blood Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Joint Infection,consult doctor,rest,drink fluids,medication
Autoimmune Heart Calculus,consult doctor,rest,drink fluids,medication
Bacterial Eye Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Kidney Failure,consult doctor,rest,drink fluids,medication
Autoimmune Throat Damage,consult doctor,rest,drink fluids,medication
Bacterial Muscle Infection,consult doctor,rest,drink fluids,medication
Hereditary Skin Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Lung Damage,consult doctor,rest,drink fluids,medication
Hereditary Intestine Tumor,consult doctor,rest,drink fluids,medication
Hereditary Eye Tumor,consult doctor,rest,drink fluids,medication
Allergic Brain Infection,consult doctor,rest,drink fluids,medication
Viral Skin Infection,consult doctor,rest,drink fluids,medication
Autoimmune Brain Calculus,consult doctor,rest,drink fluids,medication
Autoimmune Heart Degeneration,consult doctor,rest,drink fluids,medication
Allergic Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Severe Eye Syndrome,consult doctor,rest,drink fluids,medication
Idiopathic Brain Infection,consult doctor,rest,drink fluids,medication
Traumatic Ear Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Nerve Disorder,consult doctor,rest,drink fluids,medication
Metabolic Liver Failure,consult doctor,rest,drink fluids,medication
Bacterial Blood Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Lung Pain,consult doctor,rest,drink fluids,medication
Acute Eye Disease,consult doctor,rest,drink fluids,medication
Fungal Eye Pain,consult doctor,rest,drink fluids,medication
Autoimmune Liver Infection,consult doctor,rest,drink fluids,medication
Traumatic Skin Tumor,consult doctor,rest,drink fluids,medication
Bacterial Bone Dysfunction,consult doctor,rest,drink fluids,medication
Acute Lung Failure,consult doctor,rest,drink fluids,medication
Fungal Kidney Calculus,consult doctor,rest,drink fluids,medication
Bacterial Brain Infection,consult doctor,rest,drink fluids,medication
Hereditary Joint Calculus,consult doctor,rest,drink fluids,medication
Hereditary Skin Infection,consult doctor,rest,drink fluids,medication
Traumatic Bone Degeneration,consult doctor,rest,drink fluids,medication
Allergic Intestine Degeneration,consult doctor,rest,drink fluids,medication
Acute Bone Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Brain Infection,consult doctor,rest,drink fluids,medication
Acute Brain Infection,consult doctor,rest,drink fluids,medication
Mild Heart Calculus,consult doctor,rest,drink fluids,medication
Bacterial Lung Dysfunction,consult doctor,rest,drink fluids,medication
Hereditary Heart Calculus,consult doctor,rest,drink fluids,medication
Metabolic Ear Congestion,consult doctor,rest,drink fluids,medication
Chronic Nerve Pain,consult doctor,rest,drink fluids,medication
Allergic Kidney Pain,consult doctor,rest,drink fluids,medication
Acute Brain Inflammation,consult doctor,rest,drink fluids,medication
Septic Bone Inflammation,consult doctor,rest,drink fluids,medication
Allergic Brain Damage,consult doctor,rest,drink fluids,medication
Metabolic Intestine Congestion,consult doctor,rest,drink fluids,medication
Bacterial Lung Infection,consult doctor,rest,drink fluids,medication
Hereditary Muscle Disease,consult doctor,rest,drink fluids,medication
Severe Bone Pain,consult doctor,rest,drink fluids,medication
Allergic Thyroid Damage,consult doctor,rest,drink fluids,medication
Hereditary Blood Syndrome,consult doctor,rest,drink fluids,medication
Mild Ear Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Brain Syndrome,consult doctor,rest,drink fluids,medication
Severe Throat Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Bone Dysfunction,consult doctor,rest,drink fluids,medication
Metabolic Thyroid Calculus,consult doctor,rest,drink fluids,medication
Severe Thyroid Degeneration,consult doctor,rest,drink fluids,medication
Metabolic Intestine Dysfunction,consult doctor,rest,drink fluids,medication
Bacterial Intestine Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Brain Disease,consult doctor,rest,drink fluids,medication
Fungal Brain Damage,consult doctor,rest,drink fluids,medication
Traumatic Muscle Calculus,consult doctor,rest,drink fluids,medication
Bacterial Skin Syndrome,consult doctor,rest,drink fluids,medication
Traumatic Brain Disorder,consult doctor,rest,drink fluids,medication
Hereditary Liver Syndrome,consult doctor,rest,drink fluids,medication
Severe Throat Pain,consult doctor,rest,drink fluids,medication
Viral Throat Congestion,consult doctor,rest,drink fluids,medication
Bacterial Eye Syndrome,consult doctor,rest,drink fluids,medication
Bacterial Joint Failure,consult doctor,rest,drink fluids,medication
Idiopathic Nerve Disease,consult doctor,rest,drink fluids,medication
Hereditary Skin Dysfunction,consult doctor,rest,drink fluids,medication
Acute Blood Syndrome,consult doctor,rest,drink fluids,medication
Viral Heart Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Thyroid Congestion,consult doctor,rest,drink fluids,medication
Acute Stomach Inflammation,consult doctor,rest,drink fluids,medication
Acute Muscle Degeneration,consult doctor,rest,drink fluids,medication
Hereditary Heart Degeneration,consult doctor,rest,drink fluids,medication
Hereditary Thyroid Infection,consult doctor,rest,drink fluids,medication
Traumatic Nerve Disease,consult doctor,rest,drink fluids,medication
Fungal Heart Congestion,consult doctor,rest,drink fluids,medication
Bacterial Bone Damage,consult doctor,rest,drink fluids,medication
Mild Ear Degeneration,consult doctor,rest,drink fluids,medication
Allergic Liver Tumor,consult doctor,rest,drink fluids,medication
Septic Heart Damage,consult doctor,rest,drink fluids,medication
Septic Blood Damage,consult doctor,rest,drink fluids,medication
Bacterial Brain Disorder,consult doctor,rest,drink fluids,medication
Viral Muscle Pain,consult doctor,rest,drink fluids,medication
Acute Lung Calculus,consult doctor,rest,drink fluids,medication
Bacterial Skin Calculus,consult doctor,rest,drink fluids,medication
Metabolic Skin Damage,consult doctor,rest,drink fluids,medication
Idiopathic Heart Dysfunction,consult doctor,rest,drink fluids,medication
Acute Skin Tumor,consult doctor,rest,drink fluids,medication
Bacterial Lung Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Throat Failure,consult doctor,rest,drink fluids,medication
Septic Bone Disease,consult doctor,rest,drink fluids,medication
Severe Eye Failure,consult doctor,rest,drink fluids,medication
Septic Kidney Pain,consult doctor,rest,drink fluids,medication
Allergic Joint Dysfunction,consult doctor,rest,drink fluids,medication
Hereditary Joint Failure,consult doctor,rest,drink fluids,medication
Traumatic Blood Dysfunction,consult doctor,rest,drink fluids,medication
Autoimmune Intestine Pain,consult doctor,rest,drink fluids,medication
Metabolic Throat Disorder,consult doctor,rest,drink fluids,medication
Autoimmune Eye Dysfunction,consult doctor,rest,drink fluids,medication
Septic Ear Calculus,consult doctor,rest,drink fluids,medication
Traumatic Bone Disorder,consult doctor,rest,drink fluids,medication
Chronic Muscle Congestion,consult doctor,rest,drink fluids,medication
Traumatic Nerve Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Eye Inflammation,consult doctor,rest,drink fluids,medication
Traumatic Brain Failure,consult doctor,rest,drink fluids,medication
Septic Stomach Syndrome,consult doctor,rest,drink fluids,medication
Acute Lung Inflammation,consult doctor,rest,drink fluids,medication
Idiopathic Stomach Damage,consult doctor,rest,drink fluids,medication
Viral Nerve Inflammation,consult doctor,rest,drink fluids,medication
Hereditary Muscle Inflammation,consult doctor,rest,drink fluids,medication
Septic Joint Congestion,consult doctor,rest,drink fluids,medication
Septic Bone Pain,consult doctor,rest,drink fluids,medication
Severe Kidney Pain,consult doctor,rest,drink fluids,medication
Chronic Blood Tumor,consult doctor,rest,drink fluids,medication
Acute Stomach Syndrome,consult doctor,rest,drink fluids,medication
Fungal Eye Disease,consult doctor,rest,drink fluids,medication
Viral Heart Dysfunction,consult doctor,rest,drink fluids,medication
Viral Stomach Disease,consult doctor,rest,drink fluids,medication
Autoimmune Intestine Congestion,consult doctor,rest,drink fluids,medication
Autoimmune Ear Tumor,consult doctor,rest,drink fluids,medication
Hereditary Liver Damage,consult doctor,rest,drink fluids,medication
Chronic Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Traumatic Heart Disorder,consult doctor,rest,drink fluids,medication
Bacterial Lung Disease,consult doctor,rest,drink fluids,medication
Fungal Stomach Damage,consult doctor,rest,drink fluids,medication
Severe Thyroid Infection,consult doctor,rest,drink fluids,medication
Fungal Joint Damage,consult doctor,rest,drink fluids,medication
Mild Throat Calculus,consult doctor,rest,drink fluids,medication
Severe Joint Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Liver Calculus,consult doctor,rest,drink fluids,medication
Fungal Joint Syndrome,consult doctor,rest,drink fluids,medication
Autoimmune Muscle Congestion,consult doctor,rest,drink fluids,medication
Mild Skin Inflammation,consult doctor,rest,drink fluids,medication
Bacterial Throat Infection,consult doctor,rest,drink fluids,medication
Chronic Blood Failure,consult doctor,rest,drink fluids,medication
Mild Eye Damage,consult doctor,rest,drink fluids,medication
Acute Joint Congestion,consult doctor,rest,drink fluids,medication
Mild Lung Syndrome,consult doctor,rest,drink fluids,medication
Septic Joint Infection,consult doctor,rest,drink fluids,medication
Severe Heart Disorder,consult doctor,rest,drink fluids,medication
Viral Ear Failure,consult doctor,rest,drink fluids,medication
Fungal Nerve Degeneration,consult doctor,rest,drink fluids,medication
Autoimmune Blood Tumor,consult doctor,rest,drink fluids,medication
Metabolic Ear Disorder,consult doctor,rest,drink fluids,medication
Metabolic Ear Dysfunction,consult doctor,rest,drink fluids,medication
Septic Intestine Congestion,consult doctor,rest,drink fluids,medication
Acute Muscle Calculus,consult doctor,rest,drink fluids,medication
Severe Stomach Dysfunction,consult doctor,rest,drink fluids,medication
Fungal Skin Damage,consult doctor,rest,drink fluids,medication
Hereditary Skin Failure,consult doctor,rest,drink fluids,medication
Bacterial Muscle Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Nerve Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Kidney Infection,consult doctor,rest,drink fluids,medication
Viral Kidney Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Nerve Degeneration,consult doctor,rest,drink fluids,medication
Hereditary Kidney Calculus,consult doctor,rest,drink fluids,medication
Metabolic Lung Pain,consult doctor,rest,drink fluids,medication
Metabolic Brain Damage,consult doctor,rest,drink fluids,medication
Viral Joint Inflammation,consult doctor,rest,drink fluids,medication
Mild Throat Degeneration,consult doctor,rest,drink fluids,medication
Septic Eye Disease,consult doctor,rest,drink fluids,medication
Mild Heart Degeneration,consult doctor,rest,drink fluids,medication
Autoimmune Heart Dysfunction,consult doctor,rest,drink fluids,medication
Septic Blood Infection,consult doctor,rest,drink fluids,medication
Acute Intestine Pain,consult doctor,rest,drink fluids,medication
Septic Eye Dysfunction,consult doctor,rest,drink fluids,medication
Mild Bone Calculus,consult doctor,rest,drink fluids,medication
Severe Heart Calculus,consult doctor,rest,drink fluids,medication
Mild Brain Tumor,consult doctor,rest,drink fluids,medication
Autoimmune Throat Calculus,consult doctor,rest,drink fluids,medication
Viral Intestine Syndrome,consult doctor,rest,drink fluids,medication
Viral Liver Disease,consult doctor,rest,drink fluids,medication
Septic Eye Syndrome,consult doctor,rest,drink fluids,medication
Chronic Intestine Disease,consult doctor,rest,drink fluids,medication
Autoimmune Lung Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Throat Damage,consult doctor,rest,drink fluids,medication
Bacterial Joint Pain,consult doctor,rest,drink fluids,medication
Severe Brain Disease,consult doctor,rest,drink fluids,medication
Mild Skin Syndrome,consult doctor,rest,drink fluids,medication
Mild Eye Pain,consult doctor,rest,drink fluids,medication
Viral Liver Infection,consult doctor,rest,drink fluids,medication
Hereditary Kidney Tumor,consult doctor,rest,drink fluids,medication
Metabolic Liver Degeneration,consult doctor,rest,drink fluids,medication
Bacterial Kidney Failure,consult doctor,rest,drink fluids,medication
Septic Lung Dysfunction,consult doctor,rest,drink fluids,medication
Mild Nerve Disease,consult doctor,rest,drink fluids,medication
Idiopathic Liver Congestion,consult doctor,rest,drink fluids,medication
Chronic Intestine Infection,consult doctor,rest,drink fluids,medication
Allergic Skin Syndrome,consult doctor,rest,drink fluids,medication
Metabolic Muscle Degeneration,consult doctor,rest,drink fluids,medication
Viral Blood Congestion,consult doctor,rest,drink fluids,medication
Acute Throat Disease,consult doctor,rest,drink fluids,medication
Traumatic Bone Tumor,consult doctor,rest,drink fluids,medication
Severe Bone Tumor,consult doctor,rest,drink fluids,medication
Idiopathic Stomach Tumor,consult doctor,rest,drink fluids,medication
Hereditary Skin Inflammation,consult doctor,rest,drink fluids,medication
Septic Stomach Failure,consult doctor,rest,drink fluids,medication
Hereditary Liver Dysfunction,consult doctor,rest,drink fluids,medication
Chronic Ear Disease,consult doctor,rest,drink fluids,medication
Allergic Skin Pain,consult doctor,rest,drink fluids,medication
Allergic Skin Calculus,consult doctor,rest,drink fluids,medication
Hereditary Blood Inflammation,consult doctor,rest,drink fluids,medication
Idiopathic Stomach Failure,consult doctor,rest,drink fluids,medication
Autoimmune Thyroid Inflammation,consult doctor,rest,drink fluids,medication
Mild Thyroid Damage,consult doctor,rest,drink fluids,medication
Bacterial Liver Congestion,consult doctor,rest,drink fluids,medication
Chronic Brain Degeneration,consult doctor,rest,drink fluids,medication
Traumatic Throat Inflammation,consult doctor,rest,drink fluids,medication
